stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent,geometry,troncon_unique_id
S5340,S5797,Oasis Palavasienne,Arnel,43.55525603,3.89290829,43.537831255,3.869259615,"LINESTRING (3.89290829 43.55525603, 3.869259615 43.537831255)",TU000448
S5797,S5800,Arnel,Boulevard du Chapitre,43.537831255,3.869259615,43.53304643,3.86468347,"LINESTRING (3.869259615 43.537831255, 3.86468347 43.53304643)",TU000449
S5800,S5809,Boulevard du Chapitre,Pilou,43.53304643,3.86468347,43.52982521,3.865857595,"LINESTRING (3.86468347 43.53304643, 3.865857595 43.52982521)",TU000450
S5809,S5806,Pilou,Myosotis,43.52982521,3.865857595,43.528270665,3.86486475,"LINESTRING (3.865857595 43.52982521, 3.86486475 43.528270665)",TU000451
S5806,S5807,Myosotis,Oliviers de Bohême,43.528270665,3.86486475,43.52709089,3.862158575,"LINESTRING (3.86486475 43.528270665, 3.862158575 43.52709089)",TU000452
S5807,S5812,Oliviers de Bohême,Tadornes,43.52709089,3.862158575,43.526167885,3.8613186,"LINESTRING (3.862158575 43.52709089, 3.8613186 43.526167885)",TU000453
S5812,S5803,Tadornes,Les Moures,43.526167885,3.8613186,43.524456445,3.859018475,"LINESTRING (3.8613186 43.526167885, 3.859018475 43.524456445)",TU000454
S5803,S5808,Les Moures,Pèlerine,43.524456445,3.859018475,43.526440955,3.855013025,"LINESTRING (3.859018475 43.524456445, 3.855013025 43.526440955)",TU000455
S5808,S5892,Pèlerine,Domenoves,43.526440955,3.855013025,43.530118615,3.853331575,"LINESTRING (3.855013025 43.526440955, 3.853331575 43.530118615)",TU000456
S5892,S5813,Domenoves,Vignes Vierges,43.530118615,3.853331575,43.532000715,3.8527699,"LINESTRING (3.853331575 43.530118615, 3.8527699 43.532000715)",TU000457
S5813,S5893,Vignes Vierges,Figuière,43.532000715,3.8527699,43.53477861,3.855951,"LINESTRING (3.8527699 43.532000715, 3.855951 43.53477861)",TU000458
S5893,S5798,Figuière,Avenue de la Gare,43.53477861,3.855951,43.53697439,3.857374685,"LINESTRING (3.855951 43.53477861, 3.857374685 43.53697439)",TU000459
S5798,S5897,Avenue de la Gare,Pont de Villeneuve,43.53697439,3.857374685,43.553602895,3.84561167,"LINESTRING (3.857374685 43.53697439, 3.84561167 43.553602895)",TU000460
S5897,S5752,Pont de Villeneuve,La Lauze,43.553602895,3.84561167,43.561834705,3.8467437,"LINESTRING (3.84561167 43.553602895, 3.8467437 43.561834705)",TU000461
S5752,S5954,La Lauze,Saint-Exupéry,43.561834705,3.8467437,43.56263216,3.84144923,"LINESTRING (3.8467437 43.561834705, 3.84144923 43.56263216)",TU000462
S5954,S5761,Saint-Exupéry,Saint-Jean le Sec,43.56263216,3.84144923,43.5708042575,3.8378316925,"LINESTRING (3.84144923 43.56263216, 3.8378316925 43.5708042575)",TU000463
S5798,S5805,Avenue de la Gare,Maison d'Arrêt,43.53697439,3.857374685,43.546286975,3.82868569,"LINESTRING (3.857374685 43.53697439, 3.82868569 43.546286975)",TU000464
S5805,S5941,Maison d'Arrêt,Charles Martel,43.546286975,3.82868569,43.55057786,3.835286165,"LINESTRING (3.82868569 43.546286975, 3.835286165 43.55057786)",TU000465
S5941,S5752,Charles Martel,La Lauze,43.55057786,3.835286165,43.561834705,3.8467437,"LINESTRING (3.835286165 43.55057786, 3.8467437 43.561834705)",TU000466
S5798,S5802,Avenue de la Gare,Font Majour,43.53697439,3.857374685,43.53506205,3.85944286,"LINESTRING (3.857374685 43.53697439, 3.85944286 43.53506205)",TU000467
S5802,S5799,Font Majour,Boulevard des Écoles,43.53506205,3.85944286,43.53330719,3.86149656,"LINESTRING (3.85944286 43.53506205, 3.86149656 43.53330719)",TU000468
S5799,S5811,Boulevard des Écoles,Stade,43.53330719,3.86149656,43.53323033,3.85546508,"LINESTRING (3.86149656 43.53330719, 3.85546508 43.53323033)",TU000469
S5811,S5813,Stade,Vignes Vierges,43.53323033,3.85546508,43.532000715,3.8527699,"LINESTRING (3.85546508 43.53323033, 3.8527699 43.532000715)",TU000470
S5797,S5334,Arnel,Gramenet,43.537831255,3.869259615,43.54888214,3.89450214,"LINESTRING (3.869259615 43.537831255, 3.89450214 43.54888214)",TU000471
S5334,S5340,Gramenet,Oasis Palavasienne,43.54888214,3.89450214,43.55525603,3.89290829,"LINESTRING (3.89450214 43.54888214, 3.89290829 43.55525603)",TU000472
S5887,S5888,La Fermaude,Oliviers,43.59028608,3.83802194,43.58916528,3.829044665,"LINESTRING (3.83802194 43.59028608, 3.829044665 43.58916528)",TU000473
S5888,S5755,Oliviers,Louise Michel,43.58916528,3.829044665,43.58101331,3.83382133,"LINESTRING (3.829044665 43.58916528, 3.83382133 43.58101331)",TU000474
S5755,S5746,Louise Michel,Château du Terral,43.58101331,3.83382133,43.58314527,3.83046414,"LINESTRING (3.83382133 43.58101331, 3.83046414 43.58314527)",TU000475
S5746,S5756,Château du Terral,Marquerose,43.58314527,3.83046414,43.583696865,3.82664503,"LINESTRING (3.83046414 43.58314527, 3.82664503 43.583696865)",TU000476
S5756,S5743,Marquerose,Allée du Bois,43.583696865,3.82664503,43.582380835,3.824619805,"LINESTRING (3.82664503 43.583696865, 3.824619805 43.582380835)",TU000477
S5743,S5747,Allée du Bois,Collège Louis Germain,43.582380835,3.824619805,43.5795806,3.823316555,"LINESTRING (3.824619805 43.582380835, 3.823316555 43.5795806)",TU000478
S5747,S5886,Collège Louis Germain,Jean Vilar,43.5795806,3.823316555,43.577291445,3.828963375,"LINESTRING (3.823316555 43.5795806, 3.828963375 43.577291445)",TU000479
S5886,S5905,Jean Vilar,St Jean de Védas Centre - Ortet,43.577291445,3.828963375,43.57566707,3.830070865,"LINESTRING (3.828963375 43.577291445, 3.830070865 43.57566707)",TU000480
S5905,S5744,St Jean de Védas Centre - Ortet,Cave Coopérative,43.57566707,3.830070865,43.573444335,3.827311255,"LINESTRING (3.830070865 43.57566707, 3.827311255 43.573444335)",TU000481
S5744,S5750,Cave Coopérative,Jasses,43.573444335,3.827311255,43.570822125,3.82809595,"LINESTRING (3.827311255 43.573444335, 3.82809595 43.570822125)",TU000482
S5750,S5761,Jasses,Saint-Jean le Sec,43.570822125,3.82809595,43.5708042575,3.8378316925,"LINESTRING (3.82809595 43.570822125, 3.8378316925 43.5708042575)",TU000483
S5750,S5757,Jasses,Mas de Magret,43.570822125,3.82809595,43.56732943,3.82812227,"LINESTRING (3.82809595 43.570822125, 3.82812227 43.56732943)",TU000484
S5757,S5765,Mas de Magret,Val des Garrigues,43.56732943,3.82812227,43.5666827,3.82678261,"LINESTRING (3.82812227 43.56732943, 3.82678261 43.5666827)",TU000485
S5765,S5761,Val des Garrigues,Saint-Jean le Sec,43.5666827,3.82678261,43.5708042575,3.8378316925,"LINESTRING (3.82678261 43.5666827, 3.8378316925 43.5708042575)",TU000486
S5888,S5746,Oliviers,Château du Terral,43.58916528,3.829044665,43.58314527,3.83046414,"LINESTRING (3.829044665 43.58916528, 3.83046414 43.58314527)",TU000487
S5761,S5757,Saint-Jean le Sec,Mas de Magret,43.5708042575,3.8378316925,43.56732943,3.82812227,"LINESTRING (3.8378316925 43.5708042575, 3.82812227 43.56732943)",TU000488
S5765,S5750,Val des Garrigues,Jasses,43.5666827,3.82678261,43.570822125,3.82809595,"LINESTRING (3.82678261 43.5666827, 3.82809595 43.570822125)",TU000489
S5888,S5936,Oliviers,Coustaude,43.58916528,3.829044665,43.59175414,3.83522824,"LINESTRING (3.829044665 43.58916528, 3.83522824 43.59175414)",TU000490
S5936,S5887,Coustaude,La Fermaude,43.59175414,3.83522824,43.59028608,3.83802194,"LINESTRING (3.83522824 43.59175414, 3.83802194 43.59028608)",TU000491
S5177,S5182,Charles de Gaulle,Clinique du Parc,43.62817536375,3.8974032625,43.63541981,3.8910953,"LINESTRING (3.8974032625 43.62817536375, 3.8910953 43.63541981)",TU000492
S5182,S5199,Clinique du Parc,Place de la Liberté,43.63541981,3.8910953,43.632612645,3.895944925,"LINESTRING (3.8910953 43.63541981, 3.895944925 43.632612645)",TU000493
S5230,S5698,Beaulieu,La Bornière,43.56031264,3.72735771,43.5793925933333,3.75419244666667,"LINESTRING (3.72735771 43.56031264, 3.75419244666667 43.5793925933333)",TU000494
S5700,S5904,Lotissement Les Violettes,Jean Ferrat,43.587122635,3.76596978,43.58892288,3.76884689,"LINESTRING (3.76596978 43.587122635, 3.76884689 43.58892288)",TU000495
S5904,S5741,Jean Ferrat,Stade,43.58892288,3.76884689,43.6072961966667,3.78489724333333,"LINESTRING (3.76884689 43.58892288, 3.78489724333333 43.6072961966667)",TU000496
S5741,S5738,Stade,La Regnague,43.6072961966667,3.78489724333333,43.60891347,3.796553085,"LINESTRING (3.78489724333333 43.6072961966667, 3.796553085 43.60891347)",TU000497
S5738,S5957,La Regnague,Amandiers,43.60891347,3.796553085,43.60987583,3.801173795,"LINESTRING (3.796553085 43.60891347, 3.801173795 43.60987583)",TU000498
S5957,S5322,Amandiers,Route de Saint-Georges,43.60987583,3.801173795,43.61281323,3.80895096,"LINESTRING (3.801173795 43.60987583, 3.80895096 43.61281323)",TU000499
S5322,S5963,Route de Saint-Georges,Alouettes,43.61281323,3.80895096,43.613963025,3.811325225,"LINESTRING (3.80895096 43.61281323, 3.811325225 43.613963025)",TU000500
S5963,S5563,Alouettes,Mosson,43.613963025,3.811325225,43.616387998,3.819643266,"LINESTRING (3.811325225 43.613963025, 3.819643266 43.616387998)",TU000501
S5742,S5733,Zone Artisanale,Avenue Justin Bec,43.62929953,3.76913552,43.62561758,3.76885135,"LINESTRING (3.76913552 43.62929953, 3.76885135 43.62561758)",TU000502
S5733,S5739,Avenue Justin Bec,Le Réservoir,43.62561758,3.76885135,43.614794345,3.77629441,"LINESTRING (3.76885135 43.62561758, 3.77629441 43.614794345)",TU000503
S5739,S5736,Le Réservoir,Dame d'Orcas,43.614794345,3.77629441,43.615698175,3.779639325,"LINESTRING (3.77629441 43.614794345, 3.779639325 43.615698175)",TU000504
S5736,S5835,Dame d'Orcas,Les Alicantes,43.615698175,3.779639325,43.612991265,3.786109785,"LINESTRING (3.779639325 43.615698175, 3.786109785 43.612991265)",TU000505
S5835,S5741,Les Alicantes,Stade,43.612991265,3.786109785,43.6072961966667,3.78489724333333,"LINESTRING (3.786109785 43.612991265, 3.78489724333333 43.6072961966667)",TU000506
S5741,S5836,Stade,Les Jardins,43.6072961966667,3.78489724333333,43.60970849,3.78287171,"LINESTRING (3.78489724333333 43.6072961966667, 3.78287171 43.60970849)",TU000507
S5836,S5740,Les Jardins,Le Saint-Georges,43.60970849,3.78287171,43.61061524,3.78430506,"LINESTRING (3.78287171 43.60970849, 3.78430506 43.61061524)",TU000508
S5740,S5737,Le Saint-Georges,Gare,43.61061524,3.78430506,43.60905568,3.78865745,"LINESTRING (3.78430506 43.61061524, 3.78865745 43.60905568)",TU000509
S5737,S5738,Gare,La Regnague,43.60905568,3.78865745,43.60891347,3.796553085,"LINESTRING (3.78865745 43.60905568, 3.796553085 43.60891347)",TU000510
S5737,S5835,Gare,Les Alicantes,43.60905568,3.78865745,43.612991265,3.786109785,"LINESTRING (3.78865745 43.60905568, 3.786109785 43.612991265)",TU000511
S5698,S5767,La Bornière,Aires,43.5793925933333,3.75419244666667,43.572453605,3.77299024,"LINESTRING (3.75419244666667 43.5793925933333, 3.77299024 43.572453605)",TU000512
S5767,S5768,Aires,Barils,43.572453605,3.77299024,43.5717551,3.773467225,"LINESTRING (3.77299024 43.572453605, 3.773467225 43.5717551)",TU000513
S5768,S5773,Barils,Mairie,43.5717551,3.773467225,43.57084846,3.77371025,"LINESTRING (3.773467225 43.5717551, 3.77371025 43.57084846)",TU000514
S5773,S5770,Mairie,La Vialette,43.57084846,3.77371025,43.568806115,3.77418433,"LINESTRING (3.77371025 43.57084846, 3.77418433 43.568806115)",TU000515
S5770,S5265,La Vialette,Paix,43.568806115,3.77418433,43.555299935,3.778912335,"LINESTRING (3.77418433 43.568806115, 3.778912335 43.555299935)",TU000516
S5265,S5258,Paix,École La Gardiole,43.555299935,3.778912335,43.557252205,3.78249046,"LINESTRING (3.778912335 43.555299935, 3.78249046 43.557252205)",TU000517
S5258,S5266,École La Gardiole,Rouget de Lisle,43.557252205,3.78249046,43.55687504,3.78447711,"LINESTRING (3.78249046 43.557252205, 3.78447711 43.55687504)",TU000518
S5266,S5257,Rouget de Lisle,Albinoni,43.55687504,3.78447711,43.557895045,3.787178985,"LINESTRING (3.78447711 43.55687504, 3.787178985 43.557895045)",TU000519
S5257,S5856,Albinoni,Collège Ray Charles,43.557895045,3.787178985,43.55970126,3.790234695,"LINESTRING (3.787178985 43.557895045, 3.790234695 43.55970126)",TU000520
S5856,S5955,Collège Ray Charles,Stedo,43.55970126,3.790234695,43.560230845,3.79529764,"LINESTRING (3.790234695 43.55970126, 3.79529764 43.560230845)",TU000521
S5955,S5762,Stedo,Sigaliès,43.560230845,3.79529764,43.5710967,3.813001145,"LINESTRING (3.79529764 43.560230845, 3.813001145 43.5710967)",TU000522
S5762,S5759,Sigaliès,Saint-Hubéry,43.5710967,3.813001145,43.57382225,3.81976667,"LINESTRING (3.813001145 43.5710967, 3.81976667 43.57382225)",TU000523
S5759,S5758,Saint-Hubéry,Roudères,43.57382225,3.81976667,43.57514052,3.82555648,"LINESTRING (3.81976667 43.57382225, 3.82555648 43.57514052)",TU000524
S5758,S5905,Roudères,St Jean de Védas Centre - Ortet,43.57514052,3.82555648,43.57566707,3.830070865,"LINESTRING (3.82555648 43.57514052, 3.830070865 43.57566707)",TU000525
S5905,S5760,St Jean de Védas Centre - Ortet,Saint-Jean de Védas Centre,43.57566707,3.830070865,43.5748751566667,3.83045819333333,"LINESTRING (3.830070865 43.57566707, 3.83045819333333 43.5748751566667)",TU000526
S5760,S5758,Saint-Jean de Védas Centre,Roudères,43.5748751566667,3.83045819333333,43.57514052,3.82555648,"LINESTRING (3.83045819333333 43.5748751566667, 3.82555648 43.57514052)",TU000527
S5856,S5261,Collège Ray Charles,Les Cousses,43.55970126,3.790234695,43.5579814,3.7891156,"LINESTRING (3.790234695 43.55970126, 3.7891156 43.5579814)",TU000528
S5261,S5257,Les Cousses,Albinoni,43.5579814,3.7891156,43.557895045,3.787178985,"LINESTRING (3.7891156 43.5579814, 3.787178985 43.557895045)",TU000529
S5249,S5255,Maumarin,Sienne,43.661486145,3.943753385,43.66220298,3.940882005,"LINESTRING (3.943753385 43.661486145, 3.940882005 43.66220298)",TU000530
S5255,S5250,Sienne,Monteroni d'Arbia,43.66220298,3.940882005,43.660068145,3.936302165,"LINESTRING (3.940882005 43.66220298, 3.936302165 43.660068145)",TU000531
S5250,S5817,Monteroni d'Arbia,Sauvagine,43.660068145,3.936302165,43.66233833,3.93659489,"LINESTRING (3.936302165 43.660068145, 3.93659489 43.66233833)",TU000532
S5817,S5253,Sauvagine,Rocailles,43.66233833,3.93659489,43.656956445,3.93576919,"LINESTRING (3.93659489 43.66233833, 3.93576919 43.656956445)",TU000533
S5253,S5815,Rocailles,Combe Chaude,43.656956445,3.93576919,43.65394782,3.935257735,"LINESTRING (3.93576919 43.656956445, 3.935257735 43.65394782)",TU000534
S5815,S5953,Combe Chaude,Rolland Gamet,43.65394782,3.935257735,43.64905716,3.93282415,"LINESTRING (3.935257735 43.65394782, 3.93282415 43.64905716)",TU000535
S5953,S5818,Rolland Gamet,Via Domitia,43.64905716,3.93282415,43.6465206325,3.9301688725,"LINESTRING (3.93282415 43.64905716, 3.9301688725 43.6465206325)",TU000536
S5246,S5238,Jean Jaurès,Arbousiers,43.656960405,3.943093515,43.65365127,3.944659535,"LINESTRING (3.943093515 43.656960405, 3.944659535 43.65365127)",TU000537
S5238,S5240,Arbousiers,Baléares,43.65365127,3.944659535,43.65132732,3.9434488,"LINESTRING (3.944659535 43.65365127, 3.9434488 43.65132732)",TU000538
S5240,S5243,Baléares,Cimetière,43.65132732,3.9434488,43.65115707,3.940683005,"LINESTRING (3.9434488 43.65132732, 3.940683005 43.65115707)",TU000539
S5243,S5256,Cimetière,Substantion,43.65115707,3.940683005,43.649712835,3.94016576,"LINESTRING (3.940683005 43.65115707, 3.94016576 43.649712835)",TU000540
S5256,S5244,Substantion,Fernand Rouché,43.649712835,3.94016576,43.647424805,3.94138286,"LINESTRING (3.94016576 43.649712835, 3.94138286 43.647424805)",TU000541
S5244,S5242,Fernand Rouché,Chênes,43.647424805,3.94138286,43.645199405,3.94171027,"LINESTRING (3.94138286 43.647424805, 3.94171027 43.645199405)",TU000542
S5242,S5241,Chênes,Capri,43.645199405,3.94171027,43.64590966,3.93836906,"LINESTRING (3.94171027 43.645199405, 3.93836906 43.64590966)",TU000543
S5241,S5239,Capri,Arènes,43.64590966,3.93836906,43.6429169,3.93678719,"LINESTRING (3.93836906 43.64590966, 3.93678719 43.6429169)",TU000544
S5239,S5816,Arènes,Méditerranée,43.6429169,3.93678719,43.64524279,3.93482827,"LINESTRING (3.93678719 43.6429169, 3.93482827 43.64524279)",TU000545
S5816,S5953,Méditerranée,Rolland Gamet,43.64524279,3.93482827,43.64905716,3.93282415,"LINESTRING (3.93482827 43.64524279, 3.93282415 43.64905716)",TU000546
S5633,S5386,Sabines,Bagatelle,43.583822352,3.860158464,43.59509064,3.84418411,"LINESTRING (3.860158464 43.583822352, 3.84418411 43.59509064)",TU000547
S5386,S5931,Bagatelle,Cheng-Du,43.59509064,3.84418411,43.59306424,3.84380908,"LINESTRING (3.84418411 43.59509064, 3.84380908 43.59306424)",TU000548
S5931,S5932,Cheng-Du,XV de France,43.59306424,3.84380908,43.59152921,3.84494355,"LINESTRING (3.84380908 43.59306424, 3.84494355 43.59152921)",TU000549
S5932,S5679,XV de France,Yves du Manoir,43.59152921,3.84494355,43.59144234,3.8485898,"LINESTRING (3.84494355 43.59152921, 3.8485898 43.59144234)",TU000550
S5679,S5633,Yves du Manoir,Sabines,43.59144234,3.8485898,43.583822352,3.860158464,"LINESTRING (3.8485898 43.59144234, 3.860158464 43.583822352)",TU000551
S5264,S5260,Lou Paillas,Le Hameau,43.54557703,3.77495978,43.54689282,3.77402894,"LINESTRING (3.77495978 43.54557703, 3.77402894 43.54689282)",TU000552
S5260,S5262,Le Hameau,Les Écoles,43.54689282,3.77402894,43.54916869,3.77728084,"LINESTRING (3.77402894 43.54689282, 3.77728084 43.54916869)",TU000553
S5262,S5259,Les Écoles,Jeu de Ballon,43.54916869,3.77728084,43.55137054,3.7769779,"LINESTRING (3.77728084 43.54916869, 3.7769779 43.55137054)",TU000554
S5259,S5265,Jeu de Ballon,Paix,43.55137054,3.7769779,43.555299935,3.778912335,"LINESTRING (3.7769779 43.55137054, 3.778912335 43.555299935)",TU000555
S5262,S5264,Les Écoles,Lou Paillas,43.54916869,3.77728084,43.54557703,3.77495978,"LINESTRING (3.77728084 43.54916869, 3.77495978 43.54557703)",TU000556
S5782,S5796,Châtaigniers,Marbrerie,43.649267085,3.95652065,43.65386802,3.95575354,"LINESTRING (3.95652065 43.649267085, 3.95575354 43.65386802)",TU000557
S5796,S5795,Marbrerie,Bigos,43.65386802,3.95575354,43.65524448,3.9499668,"LINESTRING (3.95575354 43.65386802, 3.9499668 43.65524448)",TU000558
S5796,S5891,Marbrerie,Jean-Marcel Castet,43.65386802,3.95575354,43.6530550066667,3.96151477333333,"LINESTRING (3.95575354 43.65386802, 3.96151477333333 43.6530550066667)",TU000559
S5790,S5796,Parc Gouneaud,Marbrerie,43.65418065,3.963983985,43.65386802,3.95575354,"LINESTRING (3.963983985 43.65418065, 3.95575354 43.65386802)",TU000560
S5196,S5962,Notre-Dame de Sablassou,Verchant,43.6341134433333,3.92248383166667,43.623095675,3.918331315,"LINESTRING (3.92248383166667 43.6341134433333, 3.918331315 43.623095675)",TU000561
S5962,S5452,Verchant,Eurêka,43.623095675,3.918331315,43.61945437,3.91435734,"LINESTRING (3.918331315 43.623095675, 3.91435734 43.61945437)",TU000562
S5452,S5958,Eurêka,Alfred Nobel,43.61945437,3.91435734,43.61600677,3.91003657,"LINESTRING (3.91435734 43.61945437, 3.91003657 43.61600677)",TU000563
S5958,S5600,Alfred Nobel,Pinville,43.61600677,3.91003657,43.61397539,3.905371665,"LINESTRING (3.91003657 43.61600677, 3.905371665 43.61397539)",TU000564
S5600,S5587,Pinville,Paul Painlevé,43.61397539,3.905371665,43.610214075,3.899097745,"LINESTRING (3.905371665 43.61397539, 3.899097745 43.610214075)",TU000565
S5587,S5960,Paul Painlevé,Pont Juvénal,43.610214075,3.899097745,43.606236945,3.89810751,"LINESTRING (3.899097745 43.610214075, 3.89810751 43.606236945)",TU000566
S5355,S5357,Cirad de Baillarguet,Font de Salomé,43.68428167,3.87654496,43.67835467,3.87323873,"LINESTRING (3.87654496 43.68428167, 3.87323873 43.67835467)",TU000567
S5357,S5356,Font de Salomé,Distillerie,43.67835467,3.87323873,43.675120895,3.86733635,"LINESTRING (3.87323873 43.67835467, 3.86733635 43.675120895)",TU000568
